ra,dec,fov,width,height,hips,output,format
0.2649886062,14.5801851057,0.2,500,500,SDSS,sdss_86.png,png
0.2681060443,-9.6792465418,0.2,500,500,SDSS,sdss_87.png,png
0.2703940819,-9.1543321562,0.2,500,500,SDSS,sdss_88.png,png
0.2765641449,-10.4002625119,0.2,500,500,SDSS,sdss_89.png,png
0.2770198088,1.0660708381,0.2,500,500,SDSS,sdss_90.png,png
0.2813321144,1.2419513581,0.2,500,500,SDSS,sdss_91.png,png
0.2862098998,13.8571342853,0.2,500,500,SDSS,sdss_92.png,png
0.2876413071,14.5917625277,0.2,500,500,SDSS,sdss_93.png,png
0.2883163581,1.069297556,0.2,500,500,SDSS,sdss_94.png,png
0.2892274026,0.0844827409,0.2,500,500,SDSS,sdss_95.png,png
0.2905138488,-10.5430211497,0.2,500,500,SDSS,sdss_96.png,png
0.2999864661,15.4784273804,0.2,500,500,SDSS,sdss_97.png,png
0.3060393989,-0.9929496822,0.2,500,500,SDSS,sdss_98.png,png
0.3099710827,15.117151646,0.2,500,500,SDSS,sdss_99.png,png
0.3132044393,14.0023607068,0.2,500,500,SDSS,sdss_100.png,png
0.3150777502,14.6666655107,0.2,500,500,SDSS,sdss_101.png,png
0.3208954795,-1.0328643807,0.2,500,500,SDSS,sdss_102.png,png
0.3251785293,-10.426143246,0.2,500,500,SDSS,sdss_103.png,png
0.3489108264,-0.8519340343,0.2,500,500,SDSS,sdss_104.png,png
0.3514011814,0.7303920927,0.2,500,500,SDSS,sdss_105.png,png
0.358171925,13.8075934872,0.2,500,500,SDSS,sdss_106.png,png
0.3588053162,14.0014055393,0.2,500,500,SDSS,sdss_107.png,png
0.3638658029,14.190809423,0.2,500,500,SDSS,sdss_108.png,png
0.3687370033,-0.2243951367,0.2,500,500,SDSS,sdss_109.png,png
0.3722559575,14.726467971,0.2,500,500,SDSS,sdss_110.png,png
0.3747784819,1.0478397965,0.2,500,500,SDSS,sdss_111.png,png
0.3760024451,-0.2462358548,0.2,500,500,SDSS,sdss_112.png,png
0.3771057478,0.6582922724,0.2,500,500,SDSS,sdss_113.png,png
0.3809266712,14.4074535939,0.2,500,500,SDSS,sdss_114.png,png
0.3817846771,1.097419555,0.2,500,500,SDSS,sdss_115.png,png
0.384368434,14.1855298819,0.2,500,500,SDSS,sdss_116.png,png
0.3914931332,15.0815733235,0.2,500,500,SDSS,sdss_117.png,png
0.3942713067,0.2744187908,0.2,500,500,SDSS,sdss_118.png,png
0.398334598,14.6593826863,0.2,500,500,SDSS,sdss_119.png,png
0.398885134,-0.3951804552,0.2,500,500,SDSS,sdss_120.png,png
0.4152008813,1.3370130809,0.2,500,500,SDSS,sdss_121.png,png
0.417544224,1.0920083239,0.2,500,500,SDSS,sdss_122.png,png
0.421638866,-0.0492172431,0.2,500,500,SDSS,sdss_123.png,png
0.4219071882,1.017240046,0.2,500,500,SDSS,sdss_124.png,png
0.4350613846,15.204203188,0.2,500,500,SDSS,sdss_125.png,png
0.4356991754,14.8976472187,0.2,500,500,SDSS,sdss_126.png,png
0.4392688294,15.9678625601,0.2,500,500,SDSS,sdss_127.png,png
0.4434309226,0.7504689412,0.2,500,500,SDSS,sdss_128.png,png
0.4563540123,14.4396893659,0.2,500,500,SDSS,sdss_129.png,png
0.4565275793,0.5669259862,0.2,500,500,SDSS,sdss_130.png,png
0.4596576744,1.0319948297,0.2,500,500,SDSS,sdss_131.png,png
0.4607960092,1.0325439678,0.2,500,500,SDSS,sdss_132.png,png
0.4619515922,15.2550257116,0.2,500,500,SDSS,sdss_133.png,png
0.4620690777,-0.6538080092,0.2,500,500,SDSS,sdss_134.png,png
0.4637202966,-9.4084390928,0.2,500,500,SDSS,sdss_135.png,png
0.4737660086,16.1376338632,0.2,500,500,SDSS,sdss_136.png,png
0.4781747807,-8.9343388276,0.2,500,500,SDSS,sdss_137.png,png
0.4794969175,14.8524383529,0.2,500,500,SDSS,sdss_138.png,png
0.4801769566,0.0477655229,0.2,500,500,SDSS,sdss_139.png,png
0.4808816856,0.5462790545,0.2,500,500,SDSS,sdss_140.png,png
0.4868091301,1.1568716187,0.2,500,500,SDSS,sdss_141.png,png
0.5034400611,15.0256292212,0.2,500,500,SDSS,sdss_142.png,png
0.503742327,-9.7633559031,0.2,500,500,SDSS,sdss_143.png,png
